fecha,person_id,person_name,bloque,bloque_dicho,presidente_del_bloque,archivo,url,cita
1998-03-01,84,"ALASINO, AUGUSTO",JUSTICIALISTA,bloque justicialista,si,1998-03-01_r00_ASAMBLEA.html,https://www.senado.gov.ar/parlamentario/sesiones/01-03-1998/00/downloadTac,"Tiene la palabra el señor senador por Entre Ríos, presidente del bloque justicialista. Sr. SENADOR ALASINO"
1998-03-04,214,"GALVAN, RAUL ALFREDO",UCR - UNIÓN CÍVICA RADICAL,bloque de la Unión Cívica Radical,,1998-03-04_r02_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/04-03-1998/02/downloadTac,Tiene la palabra el señor senador por La Rioja del bloque de la Unión Cívica Radical. Sr. GALVÁN
1998-03-11,1,"AGUIRRE LANARI, JUAN RAMON",Liberal,bloque liberal,,1998-03-11_r03_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/11-03-1998/03/downloadTac,Tiene la palabra el señor senador por Corrientes del bloque liberal. Sr. AGUIRRE LANARI
1998-03-11,1,"AGUIRRE LANARI, JUAN RAMON",Liberal,bloque liberal,,1998-03-11_r03_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/11-03-1998/03/downloadTac,Tiene la palabra el señor senador por Corrientes del bloque liberal. Sr. AGUIRRE LANARI
1998-03-11,222,"PARDO, ÁNGEL FRANCISCO",JUSTICIALISTA,bloque justicialista,,1998-03-11_r03_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/11-03-1998/03/downloadTac,Tiene la palabra el señor senador por Corrientes del bloque justicialista. Sr. PARDO
1998-03-11,36,"ROMERO FERIS, JOSE ANTONIO",Autonomista,bloque autonomista,,1998-03-11_r03_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/11-03-1998/03/downloadTac,Tiene la palabra el señor senador por Corrientes del bloque autonomista. Sr. ROMERO FERIS
1998-03-11,36,"ROMERO FERIS, JOSE ANTONIO",Autonomista,bloque autonomista,,1998-03-11_r03_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/11-03-1998/03/downloadTac,Tiene la palabra el señor senador por Corrientes del bloque autonomista. Sr. ROMERO FERIS
1998-03-18,216,"LOPEZ, ALCIDES HUMBERTO",UCR - UNIÓN CÍVICA RADICAL,bloque de la Unión Cívica Radical,,1998-03-18_r04_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/18-03-1998/04/downloadTac,Tiene la palabra el señor senador por Entre Ríos del bloque de la Unión Cívica Radical. Sr. LÓPEZ
1998-03-18,221,"OUDIN, ERNESTO RENE",JUSTICIALISTA,bloque justicialista,,1998-03-18_r04_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/18-03-1998/04/downloadTac,Tiene la palabra el señor senador por Misiones del bloque justicialista. Sr. OUDÍN
1998-03-18,36,"ROMERO FERIS, JOSE ANTONIO",Autonomista,bloque autonomista,,1998-03-18_r04_ORDINARIA.html,https://www.senado.gov.ar/parlamentario/sesiones/18-03-1998/04/downloadTac,Tiene la palabra el señor senador por la provincia de Corrientes del bloque autonomista. Sr. ROMERO FERIS
